session_id,prompt_code,judge_score,length,AI_ratio,sum_semantic_score
0c44adf9178a443a9fd7a5a2edaeb7c4,writing,7,2893.0,0.16197623514696685,4.138078332033583
12bc2ababfd341f4b09c4716b3e17541,writing,7,2750.0,0.03415607080528547,3.5142371490713114
180c987fde934a02a50f81f9e981a087,writing,8,3108.0,0.031906407870247275,3.9132789066291522
2692060fbf604d9193c8a1a4dbc2b8c6,writing,6,2981.0,0.2697684578418523,8.868992868983888
2925c4bef43b49acabcade452c1b3c48,writing,7,3098.9999999999995,0.5093733261917515,5.096504074757462
295c3df7ff5443aa9afebc8168183a64,writing,7,2826.0,0.3422087745839637,6.205318778210936
2c4b5bda6f6f43ab9ffc990e7cae9693,writing,8,3122.0,0.2592028433612592,5.221692505322207
688f06a6d9b447c08e2cde69034971d9,writing,7,3010.0000000000005,0.4188303173354314,6.3493638103713765
69fec119c2304acf9b079da625d9bfec,writing,7,2612.0,0.04336999377464204,4.914766498374128
6df918d72046461a98d275bf3fac31d0,writing,7,3520.0,0.39946342841005367,13.653260553362859
82a43f771d0545b1b5bcc2f0e6d7b46c,writing,8,2602.0,0.06017191977077364,5.080364119036965
8c2eb554dcc64935b8bbb450f4acc622,writing,7,2651.0,0.38995587853620556,9.20789881949488
ffa00e543db5434a9c09f1ea48bf7c7b,writing,8,2731.0,0.2712182061579652,4.655291695476461
